county,totalAbsoluteChange,totalPctChange,maleAbsoluteChange,malePctChange,femaleAbsoluteChange,femalePctChange
Montana,36561,16.83,16483,15.77,20078,17.81
Yellowstone County,5213,17.61,2380,17.79,2833,17.45
Gallatin County,3279,20.57,1548,20.18,1731,20.93
Missoula County,3482,16.8,1517,15.54,1965,17.93
Flathead County,4064,17.98,1838,17.04,2226,18.84
Cascade County,1683,10.39,764,10.19,919,10.55
Lewis and Clark County,2747,19.66,1150,17.14,1597,21.98
Ravalli County,2131,17.1,849,13.96,1282,20.08
Silver Bow County,930,12.77,456,13.36,474,12.26
Lake County,1514,19.9,643,17.29,871,22.4
Lincoln County,1138,18.9,506,16.35,632,21.59
