county,ageIndex2020,ageIndex2021,ageIndex2022,ageIndex2023,ageIndex2024,ageIndex2025,ageIndexPointChange20to25,ageIndexPctChange20to25,seniorAbsoluteChange,children014AbsoluteChange
Montana,111.7,115.5,119.3,124.5,129.6,134.5,22.8,20.44,36561,-5826
Yellowstone County,93.5,96.4,100.2,105.3,109.4,113.6,20.1,21.54,5213,-1025
Gallatin County,81.7,85,89.3,93.9,98,103.2,21.4,26.2,3279,-871
Missoula County,108.6,114.3,119.6,126.8,132.3,137.6,29,26.71,3482,-1492
Flathead County,118.2,120.1,120.7,123.7,128.7,133.4,15.3,12.92,4064,857
Cascade County,102.4,106.2,109.9,113.9,117.5,119,16.6,16.22,1683,-794
Lewis and Clark County,108.6,113.1,117.7,121.8,128.3,135,26.4,24.3,2747,-481
Ravalli County,180.7,179.8,181.2,189,196.7,201.5,20.8,11.52,2131,345
Silver Bow County,122.6,125.7,129.9,135,142.1,147,24.4,19.9,930,-353
Lake County,127.6,134.8,140.6,148.8,156.4,165.3,37.7,29.53,1514,-443
Lincoln County,202.4,204.8,205.9,211.1,215.8,223.1,20.7,10.23,1138,234
