county,ratio2020,ratio2021,ratio2022,ratio2023,ratio2024,ratio2025,pctChange20to25
Beaverhead County,0.780296,0.758358,0.742136,0.716412,0.688976,0.652664,-16.36
Big Horn County,2.473295,2.423032,2.322928,2.172078,2.095869,1.970287,-20.34
Blaine County,1.84097,1.789289,1.670377,1.515892,1.461295,1.394958,-24.23
Broadwater County,0.917466,0.923678,0.948922,0.92366,0.917488,0.907762,-1.06
Carbon County,0.716599,0.690575,0.68025,0.6298,0.599414,0.564643,-21.21
Carter County,0.835106,0.798969,0.766497,0.753769,0.778055,0.735661,-11.91
Cascade County,1.165206,1.131489,1.099312,1.066116,1.032779,1.014368,-12.95
Chouteau County,1.111635,1.053829,0.985455,0.936215,0.897294,0.851525,-23.4
Custer County,1.065876,1.055109,1.0496,1.007431,0.955749,0.926211,-13.1
Daniels County,0.864929,0.840278,0.754386,0.731602,0.739316,0.707627,-18.19
Dawson County,1.038337,1.018221,0.974479,0.954753,0.927747,0.916171,-11.77
Deer Lodge County,0.602863,0.581673,0.552337,0.512339,0.50889,0.485567,-19.46
Fallon County,1.447273,1.365554,1.346734,1.22488,1.160742,1.078056,-25.51
Fergus County,0.787959,0.78778,0.765041,0.765707,0.750763,0.751424,-4.64
Flathead County,1.017874,1.005704,1.003279,0.982393,0.94803,0.917201,-9.89
Gallatin County,1.467541,1.410088,1.350502,1.29451,1.24556,1.185829,-19.2
Garfield County,0.88162,0.942857,0.974359,0.974277,0.954397,0.90228,2.34
Glacier County,2.38311,2.270901,2.195804,2.047472,1.913836,1.785345,-25.08
Golden Valley County,0.579592,0.606557,0.607692,0.595668,0.579137,0.605839,4.53
Granite County,0.639121,0.61875,0.564659,0.571292,0.551985,0.51085,-20.07
Hill County,1.705995,1.644453,1.583784,1.52821,1.46536,1.436388,-15.8
Jefferson County,0.860354,0.82393,0.834478,0.80991,0.776362,0.748943,-12.95
Judith Basin County,0.687392,0.65894,0.645799,0.593701,0.581955,0.568376,-17.31
Lake County,0.945971,0.902302,0.871181,0.835533,0.798098,0.757263,-19.95
Lewis and Clark County,1.101975,1.059879,1.026783,0.999618,0.957699,0.91113,-17.32
Liberty County,0.919087,0.942918,1.010482,1.027027,0.997947,0.957143,4.14
Lincoln County,0.609533,0.603503,0.598569,0.590729,0.574681,0.563207,-7.6
McCone County,0.850711,0.800454,0.762637,0.722222,0.733471,0.696177,-18.17
Madison County,0.54084,0.53071,0.540051,0.535216,0.516717,0.519294,-3.98
Meagher County,0.639042,0.591549,0.608919,0.561093,0.527027,0.513591,-19.63
Mineral County,0.671618,0.690423,0.675445,0.644369,0.612258,0.574026,-14.53
Missoula County,1.101814,1.054753,1.018777,0.972468,0.934491,0.897174,-18.57
Musselshell County,0.735409,0.756634,0.818516,0.787368,0.78684,0.777778,5.76
Park County,0.729203,0.714009,0.695775,0.696121,0.669927,0.641433,-12.04
Petroleum County,0.453988,0.445783,0.445087,0.462366,0.447368,0.46875,3.25
Phillips County,0.964859,0.961877,0.983415,0.975728,0.92068,0.873857,-9.43
Pondera County,1.050376,1.034282,1.052707,1.033874,0.952542,0.907359,-13.62
Powder River County,0.612705,0.638,0.642023,0.660886,0.65625,0.608156,-0.74
Powell County,0.667103,0.642085,0.634369,0.630202,0.614065,0.600551,-9.98
Prairie County,0.573407,0.580645,0.59375,0.554187,0.535714,0.517401,-9.77
Ravalli County,0.683273,0.683883,0.675274,0.651097,0.625685,0.612908,-10.3
Richland County,1.566298,1.443212,1.376355,1.311451,1.25535,1.257618,-19.71
Roosevelt County,2.341644,2.383266,2.286003,2.167653,2.080207,2.025268,-13.51
Rosebud County,1.596963,1.587701,1.582305,1.50694,1.476345,1.438808,-9.9
Sanders County,0.540213,0.517722,0.522514,0.505037,0.491779,0.47126,-12.76
Sheridan County,0.845023,0.806867,0.799788,0.780618,0.752929,0.713826,-15.53
Silver Bow County,0.975827,0.957137,0.927668,0.901448,0.857267,0.830593,-14.88
Stillwater County,0.845045,0.820367,0.793519,0.749501,0.750193,0.73431,-13.1
Sweet Grass County,0.741,0.706111,0.682375,0.650046,0.611702,0.548718,-25.95
Teton County,1.008092,0.954188,0.961812,0.985247,0.95375,0.933695,-7.38
Toole County,1.109769,1.069296,1.122427,1.11383,1.105538,1.115108,0.48
Treasure County,0.857143,0.803828,0.767773,0.817352,0.788288,0.718062,-16.23
Valley County,0.990826,0.950056,0.937912,0.896421,0.853425,0.823834,-16.85
Wheatland County,0.911877,0.854478,0.812274,0.749568,0.728956,0.737896,-19.08
Wibaux County,0.755906,0.76,0.784232,0.822511,0.892857,0.878378,16.2
Yellowstone County,1.288706,1.258183,1.219835,1.168446,1.123506,1.080469,-16.16
